set,name,codepoint,fluent_name
foods,Red apple,1f34e,Red apple
foods,Green apple,1f34f,Green apple
foods,Pear,1f350,Pear
foods,Tangerine,1f34a,Tangerine
foods,Lemon,1f34b,Lemon
foods,Banana,1f34c,Banana
foods,Watermelon,1f349,Watermelon
foods,Grapes,1f347,Grapes
foods,Strawberry,1f353,Strawberry
foods,Blueberries,1fad0,Blueberries
foods,Melon,1f348,Melon
foods,Cherries,1f352,Cherries
foods,Peach,1f351,Peach
foods,Mango,1f96d,Mango
foods,Pineapple,1f34d,Pineapple
foods,Coconut,1f965,Coconut
foods,Kiwi fruit,1f95d,Kiwi fruit
foods,Tomato,1f345,Tomato
foods,Eggplant,1f346,Eggplant
foods,Avocado,1f951,Avocado
foods,Broccoli,1f966,Broccoli
foods,Leafy green,1f96c,Leafy green
foods,Cucumber,1f952,Cucumber
foods,Hot pepper,1f336,Hot pepper
foods,Bell pepper,1fad1,Bell pepper
foods,Corn,1f33d,Ear of corn
foods,Carrot,1f955,Carrot
foods,Olive,1fad2,Olive
foods,Garlic,1f9c4,Garlic
foods,Onion,1f9c5,Onion
foods,Potato,1f954,Potato
foods,Sweet potato,1f360,Roasted sweet potato
foods,Beans,1fad8,Beans
foods,Chestnut,1f330,Chestnut
foods,Peanuts,1f95c,Peanuts
foods,Bread,1f35e,Bread
foods,Croissant,1f950,Croissant
foods,Baguette,1f956,Baguette bread
foods,Flatbread,1fad3,Flatbread
foods,Pretzel,1f968,Pretzel
foods,Bagel,1f96f,Bagel
foods,Pancakes,1f95e,Pancakes
foods,Waffle,1f9c7,Waffle
foods,Cheese,1f9c0,Cheese wedge
foods,Meat on bone,1f356,Meat on bone
foods,Poultry leg,1f357,Poultry leg
foods,Steak,1f969,Cut of meat
foods,Bacon,1f953,Bacon
foods,Hamburger,1f354,Hamburger
foods,French fries,1f35f,French fries
foods,Pizza,1f355,Pizza
foods,Hot dog,1f32d,Hot dog
foods,Sandwich,1f96a,Sandwich
foods,Taco,1f32e,Taco
foods,Burrito,1f32f,Burrito
foods,Falafel,1f9c6,Falafel
foods,Egg,1f95a,Egg
foods,Fried egg,1f373,Cooking
foods,Paella,1f958,Shallow pan of food
foods,Stew,1f372,Pot of food
foods,Cereal,1f963,Bowl with spoon
foods,Salad,1f957,Green salad
foods,Popcorn,1f37f,Popcorn
foods,Butter,1f9c8,Butter
foods,Ice cream,1f366,Soft ice cream
foods,Doughnut,1f369,Doughnut
foods,Cookie,1f36a,Cookie
foods,Birthday cake,1f382,Birthday cake
foods,Chocolate,1f36b,Chocolate bar
instruments,Accordion,1fa97,Accordion
instruments,Banjo,1fa95,Banjo
instruments,Drum,1f941,Drum
instruments,Long drum,1fa98,Long drum
instruments,Maracas,1fa87,Maracas
instruments,Flute,1fa88,Flute
instruments,Guitar,1f3b8,Guitar
instruments,Keyboard,1f3b9,Musical keyboard
instruments,Saxophone,1f3b7,Saxophone
instruments,Trumpet,1f3ba,Trumpet
instruments,Violin,1f3bb,Violin
instruments,Microphone,1f3a4,Microphone
instruments,Headphones,1f3a7,Headphone
instruments,Horn,1f4ef,Postal horn
instruments,Bell,1f514,Bell
instruments,Musical score,1f3bc,Musical score
